Unnamed: 0,Strategy,Date,Ticker,Target Entry,Volume Spike,Price Spike,Previous Day Close,Signal Time,Shares,Stop Price,Sell Price,Backup Sell Time,Yesterday High,Time Threshold,Buy Time Threshold,Sell_Time,Market Cap,Sector,Float,Market Capitalization,Shares Float
22,0,2024-11-13,OPK,1.663571582,8.148654791,0.06918239,1.6,09:30:00,646.1765828,1.82992874,1.580393003,,1.71,12:30:00,10:30:00,15:30:00,1011200000,Healthcare,325950000,1011.2M,325.95M
29,0,2024-11-13,RIVN,12.19969669,20.89545002,0.230046948,11.98,09:30:00,88.113748,13.41966636,11.58971186,,13.1,12:30:00,10:30:00,15:30:00,10112950000,Consumer Cyclical,730440000,10112.95M,730.44M
7,0,2024-11-13,WW,1.039141391,8.650384732,0.068627451,0.96,10:00:00,1034.47039,1.14305553,0.987184321,,1.09,12:30:00,10:30:00,15:30:00,102850000,Consumer Cyclical,78470000,102.85M,78.47M
10,0,2024-11-13,ALB,109.4665086,5.716108627,0.064303459,108.19,09:30:00,9.819998954,120.4131595,103.9931832,,111.39,12:30:00,10:30:00,15:30:00,11029010000,Basic Materials,117010000,11029.01M,117.01M
28,0,2024-11-13,OPEN,1.845466398,6.0544963,0.10982659,1.81,10:00:00,582.4874412,2.030013038,1.753193078,,1.92,12:30:00,10:30:00,15:30:00,1286490000,Real Estate,573590000,1286.49M,573.59M
8,0,2024-11-13,HUT,26.99682192,13.62066672,0.243226012,24.51,09:30:00,39.81805722,29.69650411,25.64698082,,28.47,12:30:00,10:30:00,15:30:00,1396260000,Financial,80770000,1396.26M,80.77M
0,0,2024-11-13,SGML,14.39216372,6.923968606,0.090763978,14.233173,09:30:00,74.69071509,15.83138009,13.67255553,,14.76,12:30:00,10:30:00,15:30:00,1486500000,Basic Materials,51820000,1486.5M,51.82M
15,0,2024-11-13,ONON,55.09396374,7.765435061,0.110367893,52.71,09:30:00,19.51141154,60.60336011,52.33926555,,56.44,12:30:00,10:30:00,15:30:00,15465000000,Consumer Cyclical,209410000,15465.0M,209.41M
9,0,2024-11-13,CAVA,164.7759219,29.7026726,0.190649772,147.0561,09:30:00,6.523774758,181.2535141,156.5371258,,172.65,12:30:00,10:30:00,15:30:00,15584100000,Consumer Cyclical,96070000,15584.1M,96.07M
30,0,2024-11-13,PLUG,2.010959771,8.314163212,0.160220994,1.96,09:30:00,534.5512206,2.212055748,1.910411782,,2.1,12:30:00,10:30:00,15:30:00,2084750000,Industrials,819070000,2084.75M,819.07M
