Unnamed: 0,Strategy,Date,Ticker,Target Entry,Volume Spike,Price Spike,Previous Day Close,Signal Time,Shares,Stop Price,Sell Price,Backup Sell Time,Yesterday High,Time Threshold,Buy Time Threshold,Sell_Time,Market Cap,Sector,Float,Market Capitalization,Shares Float
0,0,2024-11-25,OPI,1.6897147068602998,25.053590883088617,0.2208588957055215,1.64,11:00:00,130.4341490934432,1.8586861775463297,1.6052289715172847,,1.99,12:30:00,10:30:00,16:00:00,106150000.0,Real Estate,52060000.0,106.15M,52.06M
23,0,2024-11-25,ARM,139.91635280827495,19.90589624159795,0.0685096153846154,139.51,09:30:00,1.5752018658033895,153.90798808910245,132.9205351678612,,142.24,12:30:00,10:30:00,16:00:00,159662810000.0,Technology,1042300000.0,159662.81M,1042.3M
13,0,2024-11-25,MGNI,17.70434192160803,10.996779604566672,0.1119177253478522,16.69,09:30:00,12.448725910055296,19.474776113768833,16.819124825527627,,18.38,12:30:00,10:30:00,16:00:00,1689570000.0,Communication Services,124010000.0,1689.57M,124.01M
20,0,2024-11-25,SOUN,8.344930973303617,10.662719461757042,0.1826666666666665,8.01,09:30:00,26.4108236131699,9.179424070633978,7.927684424638436,,8.99,12:30:00,10:30:00,16:00:00,1933550000.0,Technology,313030000.0,1933.55M,313.03M
4,0,2024-11-25,MDB,346.6680749943328,5.867460498239434,0.0912914398812468,341.36,09:30:00,0.6357565518647859,381.3348824937661,329.3346712446162,,353.55,12:30:00,10:30:00,16:00:00,20075650000.0,Technology,71240000.0,20075.65M,71.24M
16,0,2024-11-25,ENVX,9.597987449213836,7.561597887467306,0.0729053318824809,9.52,10:00:00,22.962782683994085,10.55778619413522,9.118088076753144,,9.86,12:30:00,10:30:00,16:00:00,2020170000.0,Industrials,147390000.0,2020.17M,147.39M
12,0,2024-11-25,QBTS,3.4653842171775153,17.559476280836773,0.5774058577405857,3.04,09:30:00,63.59944127047144,3.811922638895267,3.2921150063186397,,3.77,12:30:00,10:30:00,16:00:00,205870000.0,Technology,121090000.0,205.87M,121.09M
9,0,2024-11-25,BLNK,1.6239204770401627,7.320683516969884,0.0559006211180123,1.6197,11:00:00,135.71877632930986,1.786312524744179,1.5427244531881543,,1.7,12:30:00,10:30:00,16:00:00,213430000.0,Industrials,95200000.0,213.43M,95.2M
14,0,2024-11-25,AQMS,2.559630039492333,5.755177630007581,0.1486208316179498,2.55,11:30:00,86.10482632236673,2.815593043441566,2.431648537517716,,2.84,12:30:00,10:30:00,16:00:00,23040000.0,Industrials,129610000.0,23.04M,129.61M
18,0,2024-11-25,WULF,7.228299308986618,6.905696827884573,0.1326908821349146,6.9492,09:30:00,30.490782212904634,7.95112923988528,6.866884343537287,,7.69,12:30:00,10:30:00,16:00:00,2375950000.0,Financial,273430000.0,2375.95M,273.43M
22,0,2024-11-25,HOOD,38.751083786589795,9.153141390771216,0.1339706092167213,37.57,09:30:00,5.687492541209143,42.626192165248774,36.813529597260306,,39.74,12:30:00,10:30:00,16:00:00,23859820000.0,Financial,595390000.0,23859.82M,595.39M
3,0,2024-11-25,POET,4.376212103732665,21.71408339621411,0.2082720161102934,4.35,09:30:00,50.362389842122624,4.813833314105931,4.157401498546031,,4.68,12:30:00,10:30:00,16:00:00,262400000.0,Technology,65019999.99999999,262.4M,65.02M
5,0,2024-11-25,SRRK,39.329473235594754,22.20186201556578,0.5948529411764707,38.0,09:30:00,5.6038507986049595,43.26242055915423,37.36299957381502,,43.38,12:30:00,10:30:00,16:00:00,2705390000.0,Healthcare,75100000.0,2705.39M,75.1M
17,0,2024-11-25,IONQ,33.40405692608392,8.167770539930771,0.1244416081684748,30.97,09:30:00,6.597896192300554,36.74446261869231,31.73385407977972,,35.24,12:30:00,10:30:00,16:00:00,3159820000.0,Technology,183760000.0,3159.82M,183.76M
1,0,2024-11-25,NNOX,6.625390846814639,9.826345255829422,0.0513484848484849,6.43,10:30:00,33.26543370735063,7.287929931496104,6.294121304473907,,6.9389,12:30:00,10:30:00,16:00:00,351590000.0,Healthcare,53020000.0,351.59M,53.02M
11,0,2024-11-25,ASTS,25.06093562141882,5.101138950635483,0.0851019558884726,24.3488,11:30:00,8.79442425172801,27.567029183560702,23.80788884034788,,26.075,12:30:00,10:30:00,16:00:00,4557840000.0,Technology,111660000.0,4557.84M,111.66M
15,0,2024-11-25,BBIO,29.03312859583553,23.154366291072957,0.3471295060080107,27.3,09:30:00,7.591207377892212,31.93644145541909,27.581472166043756,,30.51,12:30:00,10:30:00,16:00:00,4730830000.0,Healthcare,146910000.0,4730.83M,146.91M
10,0,2024-11-25,JMIA,4.077721739663791,7.746678584484627,0.0566000198945587,4.05,11:30:00,54.04893076842751,4.485493913630171,3.8738356526806017,,4.2488,12:30:00,10:30:00,16:00:00,490700000.0,Consumer Cyclical,101870000.0,490.7M,101.87M
25,0,2024-11-25,TSLA,355.4730924239705,14.530418808827282,0.0550661569886436,338.238,09:30:00,0.6200089534122445,391.02040166636755,337.69943780277197,,362.79,12:30:00,10:30:00,16:00:00,699146980000.0,Consumer Cyclical,2779950000.0,699146.98M,2779.95M
21,0,2024-11-25,PATH,14.6527573899601,7.892264815271695,0.0537292329445033,14.5601,09:30:00,15.041298653522588,16.11803312895611,13.920119520462096,,14.97,12:30:00,10:30:00,16:00:00,7176980000.0,Technology,415860000.0,7176.98M,415.86M
6,0,2024-11-25,GOEV,0.4608672621261964,7.096981091436507,0.0601655110713486,0.4277,09:30:00,478.22121055682675,0.506953988338816,0.4378238990198865,,0.4799,12:30:00,10:30:00,16:00:00,82710000.0,Consumer Cyclical,78880000.0,82.71M,78.88M
8,0,2024-11-25,ESTC,113.94117535058189,7.299455828153294,0.0721326445899825,111.5113,09:30:00,1.934300741780741,125.33529288564009,108.2441165830528,,116.2299,12:30:00,10:30:00,16:00:00,8266240000.0,Technology,85430000.0,8266.24M,85.43M
19,0,2024-11-25,U,24.24119996428503,7.444398344000141,0.0736660185785267,23.95,09:30:00,9.09181477504059,26.665319960713532,23.02913996607078,,24.85,12:30:00,10:30:00,16:00:00,8679330000.0,Technology,283200000.0,8679.33M,283.2M
24,0,2024-11-25,PLTR,66.97054413070897,10.156995395428188,0.0923386636070026,65.01,09:30:00,3.2909468313389203,73.66759854377987,63.62201692417352,,67.88,12:30:00,10:30:00,16:00:00,95624520000.0,Technology,2013590000.0,95624.52M,2013.59M
7,0,2024-11-25,REKR,1.009043797927884,7.862882380194686,0.0828821324448146,0.9554,09:30:00,218.42114331666673,1.1099481777206723,0.9585916080314896,,1.05,12:30:00,10:30:00,16:00:00,97350000.0,Technology,81950000.0,97.35M,81.95M
2,0,2024-11-25,CLSD,1.1059112118384216,5.8577544441450025,0.0769230769230769,1.1,09:30:00,199.28950682543663,1.2165023330222635,1.0506156512465006,,1.12,12:30:00,10:30:00,16:00:00,98670000.0,Healthcare,63260000.0,98.67M,63.26M
